,Player ID,Season,Average Points,Average Assists,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
148,1593,2006,12.26,3.0,0.53,6.3,8.85,0.08,0.02,5.27,5.27,2.94,1.7,0.74,34:12,2.27
149,1700,2006,11.55,0.77,0.82,3.12,3.92,4.12,1.54,4.11,4.11,2.18,1.8,0.49,25:04,1.65
150,735,2007,13.64,1.52,1.44,6.36,9.08,0.0,0.0,5.43,5.43,5.54,2.79,0.52,28:39,2.97
151,847,2007,3.89,2.0,0.67,3.33,3.56,0.0,0.0,1.67,1.67,1.33,0.56,0.44,13:58,1.22
152,957,2007,10.1,0.86,0.61,3.09,5.21,0.04,0.0,4.05,4.05,2.65,2.0,0.44,22:24,0.92
153,1037,2007,26.39,7.15,0.15,2.39,2.96,3.35,1.16,8.68,8.68,9.72,7.87,1.95,41:45,2.99
154,1089,2007,19.33,2.79,1.95,8.26,11.29,0.05,0.0,7.5,7.5,5.94,4.33,0.72,33:59,2.28
155,1247,2007,17.63,2.0,1.88,5.38,8.0,0.0,0.0,6.5,6.5,5.88,4.63,0.38,34:13,2.13
156,1281,2007,12.35,1.27,1.2,5.01,6.49,0.15,0.03,5.3,5.3,2.99,1.73,1.24,30:24,1.28
157,1368,2007,4.84,1.18,0.61,3.61,4.95,0.0,0.0,1.89,1.89,2.58,1.05,0.58,18:46,1.34
158,1445,2007,21.98,2.35,2.02,7.67,10.8,0.04,0.0,7.85,7.85,7.38,6.27,0.45,37:09,3.33
159,237,2007,30.0,7.19,1.08,6.12,7.89,4.79,1.51,10.59,10.59,10.28,7.32,1.84,40:21,3.4
160,220,2007,20.67,1.34,2.15,10.76,14.16,0.05,0.0,7.11,7.11,10.94,6.45,0.9,37:39,3.21
161,1593,2007,14.35,2.55,1.73,6.64,9.78,0.09,0.0,5.96,5.96,4.13,2.42,0.82,34:52,2.21
162,1700,2007,10.15,1.14,0.47,3.05,3.69,3.35,1.15,3.59,3.59,2.17,1.82,0.29,23:51,1.13
163,735,2008,17.77,1.68,1.44,5.95,8.44,0.01,0.0,6.83,6.83,6.92,4.12,0.65,30:01,2.24
164,957,2008,6.56,0.72,0.7,3.05,4.61,0.12,0.05,2.74,2.74,1.44,1.04,0.3,19:19,0.44
165,1037,2008,17.46,4.96,0.11,2.51,3.04,1.74,0.49,6.11,6.11,6.09,4.75,1.54,36:42,2.56
166,1089,2008,19.33,3.52,1.68,7.99,10.67,0.03,0.0,7.44,7.44,6.44,4.45,0.51,33:39,2.2
167,1247,2008,13.76,1.28,1.55,6.1,8.76,0.0,0.0,5.62,5.62,3.72,2.52,0.59,31:44,2.34
168,1281,2008,11.65,2.0,1.12,4.76,5.98,0.58,0.21,4.82,4.82,2.98,1.8,1.45,31:58,1.58
169,1368,2008,4.19,0.55,0.41,3.43,5.0,0.0,0.0,1.55,1.55,2.1,1.09,0.41,17:13,0.86
170,1445,2008,19.66,1.78,1.95,7.23,9.88,0.01,0.01,7.35,7.35,5.71,4.95,0.39,33:37,3.04
171,237,2008,28.44,7.25,1.15,6.26,7.57,4.74,1.63,9.74,9.74,9.41,7.33,1.69,37:42,2.98
172,220,2008,20.56,1.42,2.92,9.58,13.84,0.03,0.0,7.09,7.09,10.75,6.38,0.97,35:42,3.04
173,1593,2008,11.72,2.0,1.03,7.0,10.25,0.0,0.0,5.08,5.08,2.72,1.56,0.64,31:12,2.39
174,1700,2008,15.41,1.21,1.24,4.44,5.33,3.73,1.53,5.53,5.53,3.41,2.83,0.44,31:27,1.73
175,1798,2008,8.85,0.51,1.13,4.18,6.95,0.0,0.0,3.25,3.25,3.7,2.36,0.41,21:32,1.43
176,401,2008,16.8,6.32,0.22,2.73,3.91,0.89,0.2,7.09,7.09,3.09,2.43,0.81,37:02,2.49
177,735,2009,12.0,1.51,1.17,4.94,6.7,0.02,0.0,4.94,4.94,4.26,2.11,0.28,23:24,1.98
178,957,2009,3.03,0.33,0.3,1.42,2.45,0.11,0.02,1.2,1.2,0.75,0.61,0.09,9:14,0.34
179,1037,2009,13.75,4.04,0.07,2.25,2.82,0.89,0.32,4.86,4.86,4.68,3.71,0.68,30:52,2.29
180,1089,2009,17.88,3.15,1.5,7.27,10.1,0.14,0.03,7.19,7.19,4.79,3.47,0.58,31:15,1.79
181,1247,2009,13.11,1.43,1.05,3.71,6.07,0.01,0.0,5.42,5.42,3.07,2.26,1.08,30:13,1.72
182,1281,2009,11.5,1.88,1.05,6.97,9.41,0.5,0.14,4.88,4.88,2.88,1.6,1.24,34:14,1.57
183,1368,2009,3.27,0.46,0.25,2.58,3.69,0.02,0.0,1.29,1.29,2.04,0.69,0.31,13:44,0.9
