PK,Player ID.1,Season,Average Points,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
2,6,2006,8.97,1.16,2.67,4.95,0.03,0,3.83,3.83,1.83,1.32,0.35,22:05,0.68
3,1692,2006,11.76,0.08,2.26,2.95,3.31,1.12,4.55,4.55,2.17,1.54,0.36,29:49:00,1.67
4,1671,2006,5.19,1.06,2.5,3.74,0.03,0,1.86,1.86,2.43,1.47,0.64,13:25,1.31
5,1694,2006,5.48,0.48,3.75,5.37,0.05,0.02,2.05,2.05,1.78,1.36,0.64,18:41,1.19
6,1689,2006,16.75,0.18,3.37,4.39,2.56,0.96,6.12,6.12,4.23,3.54,1.18,35:20:00,2.04
7,1677,2006,10.15,0.26,2.06,2.66,2.26,0.83,3.66,3.66,2.34,2,0.65,22:55,1.85
8,171,2006,10.85,0.95,3.27,4.46,1.83,0.67,4.12,4.12,2.68,1.95,0.91,26:57:00,1.79
9,1679,2006,1.94,0.5,0.88,1.31,0,0,0.63,0.63,1.06,0.69,0.38,7:25,0.5
10,1690,2006,1.89,0.43,1.04,1.61,0,0,0.64,0.64,1.04,0.61,0.11,6:03,0.39
1,140,2007,20.3,0.94,3.48,4.35,2.56,0.74,7.34,7.34,5.6,4.89,0.98,34:36:00,2.9
2,219,2007,10.14,0.94,6.63,9.69,0.06,0,4.11,4.11,2.62,1.91,0.74,31:21:00,1.69
3,104,2007,9.4,0.04,2.23,2.62,1.72,0.57,3.57,3.57,2.32,1.7,0.83,26:03:00,1.68
4,188,2007,10.48,0.61,3.48,4.74,0.95,0.26,4,4,2.98,2.21,0.58,28:09:00,1.98
5,1745,2007,8.58,0.85,3.61,5.21,0.32,0.09,3.32,3.32,2.2,1.85,0.55,24:56:00,1.36
6,1764,2007,5.81,0.32,2.66,3.7,0.46,0.09,2.3,2.3,1.39,1.11,0.96,22:49,1.13
7,1768,2007,3.97,0.58,1.61,2.61,0,0,1.63,1.63,1.05,0.71,0.16,9:53,0.34
8,1771,2007,6.59,0.86,3.27,5.62,0.01,0,2.39,2.39,2.62,1.81,0.92,20:43,1.2
9,1775,2007,4.7,0.56,2.28,3.24,0.3,0.06,2.06,2.06,0.82,0.54,0.2,13:06,0.79
1,1798,2008,8.85,1.13,4.18,6.95,0,0,3.25,3.25,3.7,2.36,0.41,21:32,1.43
2,401,2008,16.8,0.22,2.73,3.91,0.89,0.2,7.09,7.09,3.09,2.43,0.81,37:02:00,2.49
3,39,2008,13.86,0.46,4.06,5.42,1,0.41,5.58,5.58,2.98,2.3,0.51,24:47:00,1.49
4,1811,2008,18.49,0.16,3.07,3.76,4.61,1.77,6.85,6.85,3.43,3.01,1.11,38:03:00,2.76
5,472,2008,15.32,0.2,2.7,4.87,1.57,0.43,5.32,5.32,5.22,4.26,1.34,32:32:00,3.34
6,285,2008,11.1,0.62,5.68,9.06,0.23,0.02,3.9,3.9,4.15,3.27,0.43,25:16:00,1.46
7,167,2008,6.07,0.14,1.5,1.96,2.57,1.14,2,2,0.96,0.93,0.5,14:42,0.54
8,178,2008,16.05,0.45,2,2.58,4.32,1.68,5.27,5.27,4.49,3.83,1,34:18:00,2.1
9,1797,2008,4.71,0.49,1.2,1.95,0.78,0.27,1.73,1.73,1.41,0.98,0.25,12:08,0.88
10,21,2008,11.81,0.03,1.61,1.85,3.42,1.5,3.71,3.71,3.24,2.89,0.58,26:29:00,1.65
11,283,2008,13.02,1.84,5.37,8.11,0.02,0,5.46,5.46,2.65,2.1,0.54,30:30:00,1.79
1,1854,2009,3.06,1.31,2.32,3.57,0,0,1.13,1.13,1.37,0.79,0.22,12:59,0.63
2,192,2009,9.91,0.26,2.59,3.21,3.26,1.22,3.07,3.07,3.16,2.55,1.05,22:52,1.39
3,150,2009,20.14,0.36,4.36,5.28,1.96,0.5,7.4,7.4,6.46,4.83,1.51,37:10:00,3
4,1859,2009,13.51,0.02,2.06,2.36,2.65,0.95,4.9,4.9,3.33,2.75,1.01,28:52:00,2.88
5,115,2009,17.49,0.24,3.85,4.45,4.75,2.08,6.6,6.6,2.5,2.21,1.9,36:12:00,3.04
6,1851,2009,5.19,0.45,2.11,3.72,0.04,0,2.11,2.11,1.45,0.98,0.3,13:16,0.64
7,125,2009,8.6,0.23,2.04,2.9,0.21,0.05,3.31,3.31,2.52,1.92,0.56,21:36,0.81
8,1860,2009,15.49,0.22,2.84,3.44,4.73,1.77,5.5,5.5,3.33,2.72,1.28,32:34:00,2.44
9,189,2010,22.5,0.55,8.77,12.06,0.29,0.09,8.49,8.49,8.48,5.44,0.77,37:56:00,2.72
10,451,2010,7.24,0.18,3.38,3.92,0.56,0.18,2.88,2.88,1.6,1.29,0.63,23:02,1.03
1,153,2010,6.83,0.87,3.09,5.28,0,0,2.76,2.76,2.22,1.32,0.37,19:41,0.99
2,245,2010,8.97,0.68,2.39,3.04,3.66,1.3,3.43,3.43,1.16,0.81,0.73,26:11:00,1.2
3,107,2010,14.11,0.84,5.95,8.63,0.22,0.04,5.33,5.33,4.96,3.41,1.05,28:30:00,3.31
4,453,2010,4.07,1.48,1.74,3.12,0,0,1.67,1.67,1.1,0.72,0.38,17:45,0.83
5,325,2010,9.39,0.56,4.41,7.51,0.01,0,3.79,3.79,2.91,1.81,1.16,27:46:00,1.01
6,10,2010,5.64,0.31,2.37,3.3,1.77,0.56,1.98,1.98,1.47,1.14,0.73,17:55,1.27
7,204,2010,5.39,0.26,1.36,1.93,1.03,0.49,1.97,1.97,1.35,0.96,0.42,16:54,0.97
8,172,2010,7.8,0.43,3.07,3.67,2.26,0.67,2.93,2.93,1.66,1.26,1.02,20:44,1.15
1,404,2011,10.63,0.2,3.66,4.17,2.29,0.78,3.39,3.39,3.83,3.07,2.22,34:14:00,3.2
2,228,2011,18.51,0.39,2.88,3.75,3.59,1.43,6.86,6.86,3.84,3.35,1.06,30:32:00,3.14
3,1941,2011,8.83,0.47,3.55,4.71,2.09,0.56,3.11,3.11,2.95,2.06,0.45,21:28,1.17
4,444,2011,8.23,1.03,3.37,6.48,0.03,0,3.23,3.23,3.2,1.77,0.45,23:43,1.35
5,1954,2011,4.68,0.56,2.6,4.37,0.02,0,2.05,2.05,1.09,0.58,0.68,18:54,1.05
6,48,2011,5.19,1.83,4.05,5.84,0,0,2.05,2.05,2.27,1.1,0.32,23:05,1.13
7,258,2011,12.83,0.15,2.7,3.2,4.18,1.59,4.83,4.83,2.08,1.58,0.74,32:15:00,2.59
8,465,2011,12.11,0.3,3.09,3.55,3.42,1.05,4.26,4.26,3.23,2.55,0.91,27:09:00,1.8
9,1938,2011,7.57,0.05,0.92,1.2,3.54,1.28,2.82,2.82,0.79,0.66,0.49,18:36,1.1
1,455,2012,8.94,1.26,4.05,6,0,0,3.29,3.29,2.98,2.35,0.27,23:53,1.52
2,117,2012,13.55,1.75,5.58,8.16,0.09,0,5.45,5.45,3.52,2.64,1.17,28:50:00,1.39
3,255,2012,9.03,0.9,4.15,5.83,0.12,0.03,3.6,3.6,2.4,1.79,0.69,25:57:00,1.29
4,37,2012,13.93,0.52,3,3.77,4.21,1.63,5.04,5.04,2.84,2.23,0.89,31:09:00,1.61
5,463,2012,14.66,0.26,2.08,2.44,3.33,1.03,5.51,5.51,3.49,2.61,0.97,28:47:00,1.98
6,1996,2012,4.76,0.37,2.76,4.5,0.01,0,1.97,1.97,1.56,0.81,0.59,15:04,1.26
7,278,2012,19.05,0.23,2.62,3.13,6.13,2.26,6.74,6.74,3.91,3.3,0.9,38:37:00,2.96
8,30,2012,9.23,0.17,3.46,4.11,1.79,0.64,3.41,3.41,2.35,1.78,0.64,25:24:00,1.25
9,402,2012,6.4,0.19,1.49,1.97,2.68,0.89,2.55,2.55,0.58,0.41,0.59,16:58,0.66
10,137,2012,7.93,1.58,4.8,7.62,0.03,0.02,3.47,3.47,2.65,0.98,0.98,20:42,0.95
11,393,2012,6.18,0.15,1.52,1.79,1.41,0.46,2.38,2.38,1.77,0.97,0.43,23:14,1.21
1,2048,2013,4.17,0.15,2.04,2.98,1.02,0.25,1.54,1.54,1.33,0.85,0.4,12:44,0.9
